image_url,artist,title,top_year,class,youtube_top_url,yt_id,is_downloaded,mood,per
https://cdnimg.melon.co.kr/cm/album/images/020/37/609/2037609_500.jpg/melon/resize/48/quality/80/optimize,최안순,사랑,1982,kpop,https://youtube.com/watch?v=1h0vhBQebwU,1h0vhBQebwU,True,sad,0.5361
https://cdnimg.melon.co.kr/cm/album/images/000/08/807/8807_500.jpg/melon/resize/48/quality/80/optimize,남궁옥분,사랑 사랑 누가 말했나,1982,kpop,https://youtube.com/watch?v=XU1h7JcYm4A,XU1h7JcYm4A,True,happy,0.3067
https://cdnimg.melon.co.kr/cm/album/images/003/14/242/314242_500.jpg/melon/resize/48/quality/80/optimize,산울림,산할아버지,1982,kpop,https://youtube.com/watch?v=AQnvZRnWPps,AQnvZRnWPps,True,happy,0.7
https://cdnimg.melon.co.kr/cm/album/images/000/04/127/4127_500.jpg/melon/resize/48/quality/80/optimize,송창식,상아의 노래,1982,kpop,https://youtube.com/watch?v=0nqybx0pUzY,0nqybx0pUzY,True,sad,0.4304
https://cdnimg.melon.co.kr/cm/album/images/000/06/131/6131_500.jpg/melon/resize/48/quality/80/optimize,사랑의 하모니,야화,1982,kpop,https://youtube.com/watch?v=3Rx63Kf1MEQ,3Rx63Kf1MEQ,True,romantic,0.4869
https://cdnimg.melon.co.kr/cm/album/images/000/04/119/4119_500.jpg/melon/resize/48/quality/80/optimize,송골매,어쩌다 마주친 그대,1982,kpop,https://youtube.com/watch?v=CbOeYbBe9Mk,CbOeYbBe9Mk,True,happy,0.6681
https://cdnimg.melon.co.kr/cm/album/images/003/67/771/367771_500.jpg/melon/resize/48/quality/80/optimize,이명훈,얼굴 빨개졌다네,1982,kpop,https://youtube.com/watch?v=Lc8BwKDBxZk,Lc8BwKDBxZk,True,romantic,0.3273
https://cdnimg.melon.co.kr/cm/album/images/000/06/499/6499_500.jpg/melon/resize/48/quality/80/optimize,윤민호,연상의 여인,1982,kpop,https://youtube.com/watch?v=W4MmrfTCVvw,W4MmrfTCVvw,True,happy,0.5602
https://cdnimg.melon.co.kr/cm/album/images/003/15/059/315059_500.jpg/melon/resize/48/quality/80/optimize,나훈아,울긴 왜 울어,1982,kpop,https://youtube.com/watch?v=AgDJLTkZ2AY,AgDJLTkZ2AY,True,romantic,0.2817
https://cdnimg.melon.co.kr/cm/album/images/000/31/799/31799_500.jpg/melon/resize/48/quality/80/optimize,오누이,님의 기도,1982,kpop,https://youtube.com/watch?v=GfT8VIxvxDg,GfT8VIxvxDg,True,romantic,0.4859
https://cdnimg.melon.co.kr/cm/album/images/000/06/739/6739_500.jpg/melon/resize/48/quality/80/optimize,이용,잊혀진 계절,1982,kpop,https://youtube.com/watch?v=Mo_1_oVeKDc,Mo_1_oVeKDc,True,romantic,0.3146
https://cdnimg.melon.co.kr/cm/album/images/003/10/402/310402_500.jpg/melon/resize/48/quality/80/optimize,김수희,정거장,1982,kpop,https://youtube.com/watch?v=A930eNu1g5g,A930eNu1g5g,True,happy,0.5841
https://cdnimg.melon.co.kr/cm/album/images/003/41/770/341770_500.jpg/melon/resize/48/quality/80/optimize,전영록,종이학,1982,kpop,https://youtube.com/watch?v=m_2KXrLGOt0,m_2KXrLGOt0,True,romantic,0.3391
https://cdnimg.melon.co.kr/cm/album/images/000/07/308/7308_500.jpg/melon/resize/48/quality/80/optimize,한경애,타인의 계절,1982,kpop,https://youtube.com/watch?v=xBv1FqgMW3Q,xBv1FqgMW3Q,True,romantic,0.4663
https://cdnimg.melon.co.kr/cm/album/images/003/44/628/344628_500.jpg/melon/resize/48/quality/80/optimize,이동원,헤이,1982,kpop,https://youtube.com/watch?v=JJJdRWG3-bw,JJJdRWG3-bw,True,romantic,0.4348
https://cdnimg.melon.co.kr/cm/album/images/000/10/242/10242_500.jpg/melon/resize/48/quality/80/optimize,한마음,가슴앓이,1983,kpop,https://youtube.com/watch?v=pG9U12DQyUc,pG9U12DQyUc,True,romantic,0.6597
https://cdnimg.melon.co.kr/cm/album/images/003/15/114/315114_500.jpg/melon/resize/48/quality/80/optimize,패티김,가을을 남기고 간 사랑,1983,kpop,https://youtube.com/watch?v=BpQN9X2gsWI,BpQN9X2gsWI,True,romantic,0.4836
https://cdnimg.melon.co.kr/cm/album/images/000/07/272/7272_500.jpg/melon/resize/48/quality/80/optimize,홍민,결혼기념일의 노래,1983,kpop,https://youtube.com/watch?v=OfSV6JdHAY4,OfSV6JdHAY4,True,romantic,0.6374
https://cdnimg.melon.co.kr/cm/album/images/003/09/939/309939_500.jpg/melon/resize/48/quality/80/optimize,김태정,기도하는 마음,1983,kpop,https://youtube.com/watch?v=vE5slXfhkrA,vE5slXfhkrA,True,sad,0.3936
https://cdnimg.melon.co.kr/cm/album/images/000/04/842/4842_500.jpg/melon/resize/48/quality/80/optimize,조용필,난 아니야,1983,kpop,https://youtube.com/watch?v=eIqmugriXh4,eIqmugriXh4,True,romantic,0.5357
https://cdnimg.melon.co.kr/cm/album/images/000/07/223/7223_500.jpg/melon/resize/48/quality/80/optimize,허영란,날개,1983,kpop,https://youtube.com/watch?v=48W4jpCpviM,48W4jpCpviM,True,happy,0.5416
https://cdnimg.melon.co.kr/cm/album/images/003/10/201/310201_500.jpg/melon/resize/48/quality/80/optimize,김수철,다시는 사랑을 안할테야,1983,kpop,https://youtube.com/watch?v=7fBAXtpabq0,7fBAXtpabq0,True,happy,0.4312
https://cdnimg.melon.co.kr/cm/album/images/000/04/119/4119_500.jpg/melon/resize/48/quality/80/optimize,송골매,모두 다 사랑하리,1983,kpop,https://youtube.com/watch?v=-yWqlS9EK-0,-yWqlS9EK-0,True,sad,0.4355
